name,formula,scf_vbm,scf_cbm,scf_gap_raw_eV,scf_gap_clipped_eV,sk_bandgap_eV,dft_bandgap_eV,residual_eV
Surface-JVASP-816_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Al,3.468,20.232,16.764,16.764,0.0049,0.014200000000000212,-0.009300000000000213
Surface-JVASP-993_miller_0_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Sb,6.324,6.465,0.141,0.141,0.0093,0.05909999999999993,-0.04979999999999993
Surface-JVASP-840_miller_0_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Br,1.396,0.088,-1.308,0.0,0.0003,0.0052000000000003155,-0.0049000000000003156
Surface-JVASP-984_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Rh,9.542,12.383,2.841,2.841,0.0006,0.01810000000000045,-0.01750000000000045
Surface-JVASP-963_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Pd,7.917,9.431,1.514,1.514,0.0002,0.0015000000000000568,-0.0013000000000000568
Surface-JVASP-1029_miller_1_1_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Ti,5.807,6.174,0.367,0.367,0.0012,0.0007000000000000339,0.000499999999999966
Surface-JVASP-21195_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Mo,10.564,15.761,5.197,5.197,0.0015,0.0022999999999999687,-0.0007999999999999687
Surface-JVASP-1109_miller_0_0_1_thickness_16_VASP_PBE_noDP,SnS,6.392,5.375,-1.017,0.0,1.203,1.0992000000000002,0.10379999999999989
Surface-JVASP-105410_miller_1_1_0_thickness_16_VASP_PBE,SiGe,5.714,5.02,-0.694,0.0,0.4179,0.026299999999999997,0.3916
Surface-JVASP-1702_miller_1_1_0_thickness_16_VASP_PBE_noDP,ZnS,3.883,1.796,-2.087,0.0,4.0239,2.1822,1.8417000000000003
Surface-JVASP-107_miller_1_1_0_thickness_16_VASP_PBE_noDP,SiC,10.349,7.855,-2.494,0.0,1.7954,0.9831000000000001,0.8123
Surface-JVASP-66581_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaInSb,3.369,2.945,-0.424,0.0,0.3698,0.2971999999999999,0.07260000000000011
Surface-JVASP-75493_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiSnAs,5.38,5.257,-0.123,0.0,1.4019,0.3098000000000001,1.0920999999999998
Surface-JVASP-1321_miller_1_1_0_thickness_16_VASP_PBE_noDP,BeSe,5.442,2.594,-2.848,0.0,3.6003,2.1411,1.4592
Surface-JVASP-105933_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiMgSb,4.438,3.048,-1.39,0.0,2.475,1.1271,1.3479
Surface-JVASP-1948_miller_1_1_0_thickness_16_VASP_PBE_noDP,CuBr,3.319,2.687,-0.632,0.0,0.8284,0.7475,0.08089999999999997
Surface-JVASP-1441_miller_1_1_0_thickness_16_VASP_PBE_noDP,ScNiSb,7.482,7.22,-0.262,0.0,0.278,0.13170000000000004,0.14629999999999999
Surface-JVASP-101231_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaNaTiNbO6,3.681,2.084,-1.597,0.0,4.7523,0.07289999999999996,4.6794
Surface-JVASP-1555_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiZnN,3.925,3.1,-0.825,0.0,1.6206,0.5382,1.0824
Surface-JVASP-1029_miller_0_0_1_thickness_16_VASP_PBE,Ti,5.807,6.174,0.367,0.367,0.0003,0.001100000000000101,-0.000800000000000101
Surface-JVASP-1186_miller_1_1_0_thickness_16_VASP_PBE_noDP,InAs,3.774,3.774,0.0,0.0,1.5095,0.3834,1.1261
Surface-JVASP-107095_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiSiB,7.434,7.016,-0.418,0.0,0.083,0.04180000000000006,0.041199999999999945
Surface-JVASP-7761_miller_1_1_0_thickness_16_VASP_PBE_noDP,MgS,4.328,0.746,-3.582,0.0,5.681,2.9402,2.7408
Surface-JVASP-7820_miller_1_1_0_thickness_16_VASP_PBE_noDP,Li2CuSb,6.907,6.299,-0.608,0.0,0.0335,0.21039999999999992,-0.17689999999999992
Surface-JVASP-52585_miller_1_1_0_thickness_16_VASP_PBE_noDP,AgI,3.834,2.575,-1.259,0.0,3.1384,1.5637,1.5746999999999998
Surface-JVASP-78441_miller_1_1_0_thickness_16_VASP_PBE_noDP,CdSe,0.871,0.416,-0.455,0.0,2.7255,0.9985999999999999,1.7268999999999999
Surface-JVASP-78585_miller_1_1_0_thickness_16_VASP_PBE_noDP,VSiRh,7.821,7.431,-0.39,0.0,0.0004,0.04859999999999998,-0.04819999999999998
Surface-JVASP-78857_miller_1_1_0_thickness_16_VASP_PBE_noDP,NbCoSn,8.406,7.349,-1.057,0.0,0.0007,0.02950000000000008,-0.028800000000000082
Surface-JVASP-107_miller_0_0_1_thickness_16_VASP_PBE,SiC,10.349,7.855,-2.494,0.0,0.0099,0.09240000000000004,-0.08250000000000003
Surface-JVASP-36403_miller_1_1_0_thickness_16_VASP_PBE_noDP,SiSn,5.588,5.34,-0.248,0.0,0.488,0.05259999999999998,0.4354
Surface-JVASP-54897_miller_1_1_0_thickness_16_VASP_PBE_noDP,ZnTe,3.799,2.742,-1.057,0.0,2.6401,1.4257,1.2144
Surface-JVASP-22552_miller_1_1_0_thickness_16_VASP_PBE_noDP,NbSbRu,7.855,8.224,0.369,0.369,0.0014,0.03529999999999989,-0.03389999999999989
Surface-JVASP-40775_miller_1_1_0_thickness_16_VASP_PBE_noDP,TiFeSe,8.87,7.845,-1.025,0.0,0.3562,0.10550000000000015,0.25069999999999987
Surface-JVASP-40476_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiCuS,5.848,4.822,-1.026,0.0,0.7755,0.9610999999999998,-0.18559999999999988
Surface-JVASP-40117_miller_1_1_0_thickness_16_VASP_PBE_noDP,AgBr,2.202,1.171,-1.031,0.0,1.748,0.7121000000000002,1.0358999999999998
Surface-JVASP-40800_miller_1_1_0_thickness_16_VASP_PBE_noDP,ZrSnPd,9.085,8.591,-0.494,0.0,0.0007,0.03180000000000005,-0.03110000000000005
Surface-JVASP-40811_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiZnP,5.013,3.786,-1.227,0.0,1.9501,1.2398,0.7102999999999999
Surface-JVASP-40763_miller_1_1_0_thickness_16_VASP_PBE_noDP,KBaP,3.199,1.981,-1.218,0.0,2.1462,0.15,1.9962
Surface-JVASP-37048_miller_1_1_0_thickness_16_VASP_PBE_noDP,Ti2MnAl,7.52,7.35,-0.17,0.0,0.0016,0.06820000000000004,-0.06660000000000003
Surface-JVASP-108570_miller_1_1_0_thickness_16_VASP_PBE_noDP,LiZnSb,4.36,3.89,-0.47,0.0,1.181,0.6547000000000001,0.5263
Surface-JVASP-109392_miller_1_1_0_thickness_16_VASP_PBE_noDP,Li2SO4,2.668,-1.137,-3.805,0.0,0.7341,0.08479999999999999,0.6493
Surface-JVASP-110330_miller_1_1_0_thickness_16_VASP_PBE_noDP,VSnRh,8.105,7.609,-0.496,0.0,0.0071,0.02719999999999989,-0.02009999999999989
Surface-JVASP-114592_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaZnTe,2.758,0.988,-1.77,0.0,1.8277,1.6526999999999998,0.17500000000000027
Surface-JVASP-114037_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaCdSe,2.171,0.59,-1.581,0.0,2.0036,1.4926,0.5110000000000001
Surface-JVASP-117700_miller_1_1_0_thickness_16_VASP_PBE_noDP,BeS,6.665,3.418,-3.247,0.0,4.513,0.9855,3.5275
Surface-JVASP-135531_miller_1_1_0_thickness_16_VASP_PBE_noDP,NaSrP,2.777,1.186,-1.591,0.0,3.1148,0.9466,2.1681999999999997
Surface-JVASP-135879_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaSO4,5.179,0.849,-4.33,0.0,1.4689,0.028000000000000025,1.4409
Surface-JVASP-134866_miller_1_1_0_thickness_16_VASP_PBE_noDP,YSF,5.706,1.444,-4.262,0.0,4.9995,3.4411,1.5584000000000002
Surface-JVASP-43629_miller_1_0_0_thickness_16_VASP_PBE_noDP,MgO,4.106,0.249,-3.857,0.0,5.4395,1.2197,4.219799999999999
Surface-JVASP-107_miller_1_0_0_thickness_16_VASP_PBE_noDP,SiC,10.349,7.855,-2.494,0.0,0.0007,0.06639999999999979,-0.06569999999999979
Surface-JVASP-102236_miller_1_0_0_thickness_16_VASP_PBE_noDP,NaFeN,5.374,4.968,-0.406,0.0,0.0001,0.010299999999999976,-0.010199999999999976
Surface-JVASP-102823_miller_1_0_0_thickness_16_VASP_PBE_noDP,NaSrN,1.97,1.681,-0.289,0.0,1.8739,0.019600000000000006,1.8542999999999998
Surface-JVASP-7757_miller_1_0_0_thickness_16_VASP_PBE_noDP,CdTe,2.302,1.776,-0.526,0.0,2.8898,0.9616,1.9282000000000001
Surface-JVASP-8182_miller_1_0_0_thickness_16_VASP_PBE_noDP,AlP,6.41,4.36,-2.05,0.0,3.1001,1.9087,1.1913999999999998
Surface-JVASP-7648_miller_1_0_0_thickness_16_VASP_PBE_noDP,ZnS,3.91,1.798,-2.112,0.0,3.7339,0.15420000000000003,3.5797000000000003
Surface-JVASP-45318_miller_1_0_0_thickness_16_VASP_PBE_noDP,Na6ZnS4,3.152,0.916,-2.236,0.0,3.7142,1.9109,1.8033
Surface-JVASP-49209_miller_1_0_0_thickness_16_VASP_PBE_noDP,Na6MnSe4,2.682,1.407,-1.275,0.0,0.0031,0.8903,-0.8872
Surface-JVASP-85122_miller_1_0_0_thickness_16_VASP_PBE_noDP,InP,5.004,4.629,-0.375,0.0,3.1193,0.7248,2.3945
Surface-JVASP-80722_miller_1_0_0_thickness_16_VASP_PBE_noDP,AgH,6.734,5.939,-0.795,0.0,1.1826,0.8027999999999997,0.37980000000000036
Surface-JVASP-57695_miller_1_0_0_thickness_16_VASP_PBE_noDP,BN,12.674,7.242,-5.432,0.0,3.3607,3.9511000000000003,-0.5904000000000003
Surface-JVASP-36204_miller_1_0_0_thickness_16_VASP_PBE_noDP,BP,8.847,7.47,-1.377,0.0,1.3364,0.6489,0.6875
Surface-JVASP-23901_miller_1_0_0_thickness_16_VASP_PBE_noDP,Ca4Cl6O,1.16,6.713,5.553,5.553,7.2908,2.9558999999999997,4.3349
Surface-JVASP-37905_miller_1_0_0_thickness_16_VASP_PBE_noDP,BAs,7.282,5.922,-1.36,0.0,0.7834,0.4781000000000001,0.3052999999999999
Surface-JVASP-21263_miller_1_0_0_thickness_16_VASP_PBE_noDP,Na6MnS4,3.516,1.989,-1.527,0.0,0.003,0.9762,-0.9732
Surface-JVASP-8209_miller_1_0_0_thickness_16_VASP_PBE_noDP,LiBeSb,6.904,5.771,-1.133,0.0,0.8129,0.02320000000000011,0.7896999999999998
Surface-JVASP-49210_miller_1_0_0_thickness_16_VASP_PBE_noDP,Na6MnTe4,3.66,2.208,-1.452,0.0,0.0037,1.2869,-1.2832
Surface-JVASP-34040_miller_1_0_0_thickness_16_VASP_PBE_noDP,TeMoS,8.233,7.641,-0.592,0.0,0.004,0.012499999999999734,-0.008499999999999733
Surface-JVASP-10591_miller_1_0_0_thickness_16_VASP_PBE_noDP,ZnS,3.899,1.796,-2.103,0.0,3.6908,0.2918,3.399
Surface-JVASP-140612_miller_1_0_0_thickness_16_VASP_PBE_noDP,TiMn3O8,4.04,3.243,-0.797,0.0,0.0014,0.045399999999999996,-0.044
Surface-JVASP-135775_miller_1_0_0_thickness_16_VASP_PBE_noDP,BN,12.731,7.279,-5.452,0.0,3.3738,3.7321,-0.35829999999999984
Surface-JVASP-145586_miller_1_0_0_thickness_16_VASP_PBE_noDP,Mn3SnO8,4.61,3.832,-0.778,0.0,0.0,0.2899,-0.2899
Surface-JVASP-66053_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaGaSb,2.665,2.149,-0.516,0.0,0.208,0.16940000000000005,0.03859999999999994
Surface-JVASP-7630_miller_1_1_0_thickness_16_VASP_PBE_noDP,BAs,7.112,5.697,-1.415,0.0,0.6613,0.5748,0.08650000000000002
Surface-JVASP-79204_miller_1_1_0_thickness_16_VASP_PBE_noDP,BN,12.674,7.243,-5.431,0.0,3.3945,4.0332,-0.6387
Surface-JVASP-813_miller_1_1_1_thickness_16_VASP_PBE_noDP,Ag,4.194,13.371,9.177,9.177,0.0039,0.031399999999999983,-0.027499999999999983
Surface-JVASP-8183_miller_1_1_0_thickness_16_VASP_PBE_noDP,AlAs,5.399,3.592,-1.807,0.0,3.1713,1.8584000000000003,1.3128999999999997
Surface-JVASP-861_miller_0_0_1_thickness_16_VASP_PBE_noDP,Cr,10.023,13.39,3.367,3.367,0.0077,0.010299999999999976,-0.0025999999999999756
Surface-JVASP-984_miller_1_1_1_thickness_16_VASP_PBE_noDP,Rh,9.542,12.383,2.841,2.841,0.0052,0.011600000000000055,-0.006400000000000055
Surface-JVASP-8183_miller_1_1_0_thickness_16_VASP_PBE,AlAs,5.399,3.592,-1.807,0.0,3.1711,1.8589000000000002,1.3121999999999998
Surface-JVASP-861_miller_0_0_1_thickness_16_VASP_PBE,Cr,10.023,13.39,3.367,3.367,0.0013,0.009800000000000253,-0.008500000000000254
Surface-JVASP-1189_miller_1_1_0_thickness_16_VASP_PBE_noDP,InSb,4.351,4.351,0.0,0.0,1.4688,0.3112,1.1576000000000002
Surface-JVASP-1393_miller_1_1_0_thickness_16_VASP_PBE_noDP,GaP,5.776,4.294,-1.482,0.0,2.9216,1.225,1.6966
Surface-JVASP-23_miller_0_0_1_thickness_16_VASP_PBE_noDP,CdTe,2.253,1.755,-0.498,0.0,1.2372,0.013499999999999956,1.2237
Surface-JVASP-35748_miller_1_1_0_thickness_16_VASP_PBE_noDP,AlSb,5.451,4.393,-1.058,0.0,2.3689,1.3263,1.0426
Surface-JVASP-37905_miller_1_1_0_thickness_16_VASP_PBE_noDP,BAs,7.282,5.922,-1.36,0.0,1.1706,1.1447999999999998,0.025800000000000267
Surface-JVASP-7630_miller_1_1_0_thickness_16_VASP_PBE,BAs,7.112,5.697,-1.415,0.0,0.6584,0.5733999999999999,0.08500000000000008
Surface-JVASP-79204_miller_1_1_0_thickness_16_VASP_PBE,BN,12.674,7.243,-5.431,0.0,3.3945,4.0327,-0.6382000000000003
Surface-JVASP-813_miller_1_1_1_thickness_16_VASP_PBE,Ag,4.194,13.371,9.177,9.177,0.0016,0.025399999999999978,-0.023799999999999977
Surface-JVASP-867_miller_0_0_1_thickness_16_VASP_R2SCAN,Cu,4.358,12.889,8.531,8.531,0.0014,0.010200000000000209,-0.008800000000000209
Surface-JVASP-1002_miller_1_1_1_thickness_16_VASP_R2SCAN,Si,6.19,5.459,-0.731,0.0,0.0211,0.05810000000000004,-0.03700000000000004
Surface-JVASP-943_miller_0_0_1_thickness_16_VASP_R2SCAN,Ni,6.682,8.108,1.426,1.426,0.0006,0.0008999999999996788,-0.0002999999999996789
Surface-JVASP-963_miller_1_1_1_thickness_16_VASP_R2SCAN,Pd,7.917,9.431,1.514,1.514,0.0006,0.0034999999999998366,-0.0028999999999998367
Surface-JVASP-8158_miller_1_1_1_thickness_16_VASP_R2SCAN,SiC,9.408,7.788,-1.62,0.0,0.4914,0.008500000000000174,0.48289999999999983
Surface-JVASP-25142_miller_1_1_0_thickness_16_VASP_R2SCAN,Fe,10.216,12.135,1.919,1.919,0.0032,0.0026000000000001577,0.0005999999999998424
Surface-JVASP-890_miller_1_1_1_thickness_16_VASP_R2SCAN,Ge,4.28,4.363,0.083,0.083,0.0021,0.08329999999999993,-0.08119999999999993
Surface-JVASP-62940_miller_1_1_1_thickness_16_VASP_R2SCAN,BN,6.564,2.104,-4.46,0.0,4.0697,3.7995,0.2702
Surface-JVASP-1192_miller_1_1_0_thickness_16_VASP_R2SCAN,CdSe,0.871,0.416,-0.455,0.0,2.7218,1.0016999999999998,1.7201000000000002
Surface-JVASP-1312_miller_1_1_0_thickness_16_VASP_R2SCAN,BP,8.701,7.186,-1.515,0.0,1.5733,0.6058999999999999,0.9674
Surface-JVASP-36873_miller_1_1_1_thickness_16_VASP_R2SCAN,BSb,8.111,7.166,-0.945,0.0,0.0093,0.013800000000000034,-0.004500000000000035
Surface-JVASP-1372_miller_0_0_1_thickness_16_VASP_R2SCAN,AlAs,5.176,3.495,-1.681,0.0,0.0013,0.008499999999999999,-0.007199999999999999
Surface-JVASP-8184_miller_1_1_0_thickness_16_VASP_R2SCAN,GaP,5.657,4.395,-1.262,0.0,3.1277,1.6458000000000002,1.4818999999999998
Surface-JVASP-1180_miller_1_1_0_thickness_16_VASP_R2SCAN,InN,5.98,5.98,0.0,0.0,0.9989,0.333,0.6658999999999999
Surface-JVASP-91_miller_1_1_0_thickness_16_VASP_R2SCAN,C,13.914,9.457,-4.457,0.0,0.0104,0.18710000000000004,-0.17670000000000005
Surface-JVASP-107_miller_1_1_1_thickness_16_VASP_R2SCAN,SiC,10.349,7.855,-2.494,0.0,0.4394,0.21499999999999997,0.22440000000000004
Surface-JVASP-36403_miller_1_1_1_thickness_16_VASP_R2SCAN,SiSn,5.588,5.34,-0.248,0.0,0.0024,0.02799999999999997,-0.02559999999999997
Surface-JVASP-1186_miller_0_0_1_thickness_16_VASP_PBE_noDP,InAs,3.774,3.774,0.0,0.0,0.0016,0.009000000000000008,-0.007400000000000008
Surface-JVASP-1180_miller_0_0_1_thickness_16_VASP_PBE,InN,5.98,5.98,0.0,0.0,0.0004,0.025100000000000122,-0.02470000000000012
Surface-JVASP-1198_miller_0_0_1_thickness_16_VASP_PBE,ZnTe,3.797,2.741,-1.056,0.0,1.451,0.013499999999999845,1.4375000000000002
Surface-JVASP-17700_miller_1_1_0_thickness_16_VASP_PBE,InN,5.967,5.967,0.0,0.0,0.5287,0.2762999999999999,0.25240000000000007
Surface-JVASP-30_miller_1_1_0_thickness_16_VASP_PBE,GaN,6.834,4.891,-1.943,0.0,4.3976,1.461,2.9365999999999994
Surface-JVASP-36123_miller_1_1_0_thickness_16_VASP_PBE,InSb,4.414,4.414,0.0,0.0,1.8713,0.6676,1.2037
Surface-JVASP-10591_miller_0_0_1_thickness_16_VASP_PBE,ZnS,3.899,1.796,-2.103,0.0,3.9516,0.27799999999999997,3.6736
Surface-JVASP-858_miller_0_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Co,9.212,11.468,2.256,2.256,0.0043,0.0029000000000003467,0.0013999999999996533
Surface-JVASP-840_miller_0_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Br,1.396,0.088,-1.308,0.0,2.0036,0.06369999999999987,1.9399000000000002
Surface-JVASP-834_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Be,4.002,6.037,2.035,2.035,0.0281,0.013899999999999968,0.014200000000000032
Surface-JVASP-984_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Rh,9.542,12.383,2.841,2.841,0.0109,0.01580000000000048,-0.00490000000000048
Surface-JVASP-890_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Ge,4.28,4.363,0.083,0.083,0.0026,0.006099999999999994,-0.0034999999999999944
Surface-JVASP-816_miller_1_1_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Al,3.468,20.232,16.764,16.764,0.0024,0.013199999999999878,-0.01079999999999988
Surface-JVASP-993_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Sb,6.324,6.465,0.141,0.141,0.0036,0.011200000000000099,-0.007600000000000099
Surface-JVASP-931_miller_0_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Na,-1.901,2.451,4.352,4.352,0.0038,0.013000000000000012,-0.009200000000000012
Surface-JVASP-963_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Pd,7.917,9.431,1.514,1.514,0.0031,0.0005999999999999339,0.002500000000000066
Surface-JVASP-1029_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Ti,5.807,6.174,0.367,0.367,0.0006,0.00039999999999995595,0.000200000000000044
Surface-JVASP-1056_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Zn,-0.797,4.632,5.429,5.429,0.0043,0.0047000000000000375,-0.0004000000000000375
Surface-JVASP-21195_miller_1_1_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Mo,10.564,15.761,5.197,5.197,0.002,0.0019999999999997797,2.203098814490545e-16
